LOCATION,MEASURE,TIME,Value
AUT,USD,1996,51.167358
AUT,USD,1997,51.618888
AUT,USD,1998,53.570716
AUT,USD,1999,54.527023
AUT,USD,2000,55.82424
AUT,USD,2001,56.53665
AUT,USD,2002,57.608439
AUT,USD,2003,58.062767
AUT,USD,2004,59.197002
AUT,USD,2005,60.623506
AUT,USD,2006,62.235253
AUT,USD,2007,63.797008
AUT,USD,2008,63.799879
AUT,USD,2009,63.352297
AUT,USD,2010,64.310644
AUT,USD,2011,64.948767
AUT,USD,2012,65.654895
AUT,USD,2013,66.07724
AUT,USD,2014,66.314312
AUT,USD,2015,67.261798
AUT,USD,2016,67.177258
AUT,USD,2017,68.003808
AUT,USD,2018,68.321268
AUT,USD,2019,68.222001
AUT,USD,2020,69.751669
AUT,USD,2021,69.372102
AUT,USD,2022,70.625577
CZE,USD,1996,24.464831
CZE,USD,1997,24.396092
CZE,USD,1998,24.433029
CZE,USD,1999,24.918613
CZE,USD,2000,25.998047
CZE,USD,2001,27.994158
CZE,USD,2002,28.429678
CZE,USD,2003,29.901424
CZE,USD,2004,31.147574
CZE,USD,2005,32.765277
CZE,USD,2006,34.781571
CZE,USD,2007,36.256014
CZE,USD,2008,36.139167
CZE,USD,2009,35.303035
CZE,USD,2010,36.128328
CZE,USD,2011,36.734795
CZE,USD,2012,36.886973
CZE,USD,2013,37.004724
CZE,USD,2014,37.432375
CZE,USD,2015,39.390083
CZE,USD,2016,39.251558
CZE,USD,2017,40.595969
CZE,USD,2018,41.161265
CZE,USD,2019,42.272668
CZE,USD,2020,43.289836
CZE,USD,2021,43.482596
CZE,USD,2022,42.55645
FIN,USD,1996,44.839456
FIN,USD,1997,46.225308
FIN,USD,1998,48.080303
FIN,USD,1999,49.182815
FIN,USD,2000,51.312409
FIN,USD,2001,52.300822
FIN,USD,2002,52.775143
FIN,USD,2003,53.900389
FIN,USD,2004,55.715585
FIN,USD,2005,56.763097
FIN,USD,2006,58.143659
FIN,USD,2007,60.034517
FIN,USD,2008,59.335913
FIN,USD,2009,56.693486
FIN,USD,2010,58.660065
FIN,USD,2011,59.486305
FIN,USD,2012,58.538786
FIN,USD,2013,58.728704
FIN,USD,2014,58.865612
FIN,USD,2015,59.318425
FIN,USD,2016,60.743529
FIN,USD,2017,62.263776
FIN,USD,2018,61.531074
FIN,USD,2019,61.704044
FIN,USD,2020,61.809712
FIN,USD,2021,62.613138
FIN,USD,2022,62.919977
FRA,USD,1996,52.705155
FRA,USD,1997,53.577234
FRA,USD,1998,54.902497
FRA,USD,1999,55.693666
FRA,USD,2000,57.168797
FRA,USD,2001,58.238429
FRA,USD,2002,59.938668
FRA,USD,2003,60.280773
FRA,USD,2004,60.946954
FRA,USD,2005,61.487911
FRA,USD,2006,63.018745
FRA,USD,2007,62.723395
FRA,USD,2008,62.323215
FRA,USD,2009,61.685771
FRA,USD,2010,62.484285
FRA,USD,2011,63.109941
FRA,USD,2012,63.316137
FRA,USD,2013,64.173601
FRA,USD,2014,64.791079
FRA,USD,2015,65.316731
FRA,USD,2016,65.499243
FRA,USD,2017,66.881126
FRA,USD,2018,67.155153
FRA,USD,2019,67.417144
FRA,USD,2020,67.617447
FRA,USD,2021,66.434341
FRA,USD,2022,65.160819
DEU,USD,1996,52.255597
DEU,USD,1997,53.53631
DEU,USD,1998,54.081496
DEU,USD,1999,54.695538
DEU,USD,2000,56.051436
DEU,USD,2001,57.4591
DEU,USD,2002,57.991792
DEU,USD,2003,58.437853
DEU,USD,2004,58.970058
DEU,USD,2005,59.900695
DEU,USD,2006,60.858653
DEU,USD,2007,61.577685
DEU,USD,2008,61.593702
DEU,USD,2009,59.739676
DEU,USD,2010,61.116778
DEU,USD,2011,62.706421
DEU,USD,2012,63.093299
DEU,USD,2013,63.392823
DEU,USD,2014,64.049842
DEU,USD,2015,64.376152
DEU,USD,2016,65.248665
DEU,USD,2017,66.411797
DEU,USD,2018,66.549287
DEU,USD,2019,67.024094
DEU,USD,2020,67.800802
DEU,USD,2021,68.193844
DEU,USD,2022,68.535288
HUN,USD,1996,21.834358
HUN,USD,1997,22.199732
HUN,USD,1998,22.967387
HUN,USD,1999,23.126167
HUN,USD,2000,24.261878
HUN,USD,2001,25.660983
HUN,USD,2002,27.120808
HUN,USD,2003,28.099839
HUN,USD,2004,29.787292
HUN,USD,2005,31.711223
HUN,USD,2006,33.059351
HUN,USD,2007,33.880508
HUN,USD,2008,34.775614
HUN,USD,2009,33.729408
HUN,USD,2010,34.16158
HUN,USD,2011,35.064454
HUN,USD,2012,34.615419
HUN,USD,2013,34.885635
HUN,USD,2014,34.479125
HUN,USD,2015,35.030998
HUN,USD,2016,34.239239
HUN,USD,2017,35.285256
HUN,USD,2018,36.715239
HUN,USD,2019,38.24754
HUN,USD,2020,38.411219
HUN,USD,2021,39.88638
HUN,USD,2022,40.836983
IRL,USD,1996,45.226234
IRL,USD,1997,48.307824
IRL,USD,1998,48.143484
IRL,USD,1999,50.57908
IRL,USD,2000,53.374347
IRL,USD,2001,55.334605
IRL,USD,2002,58.210933
IRL,USD,2003,59.836205
IRL,USD,2004,62.424068
IRL,USD,2005,63.045921
IRL,USD,2006,64.112863
IRL,USD,2007,65.77711
IRL,USD,2008,64.736266
IRL,USD,2009,69.034707
IRL,USD,2010,73.290023
IRL,USD,2011,75.574361
IRL,USD,2012,76.040261
IRL,USD,2013,74.087742
IRL,USD,2014,78.039091
IRL,USD,2015,94.224594
IRL,USD,2016,91.22366
IRL,USD,2017,95.712054
IRL,USD,2018,100.133479
IRL,USD,2019,102.388435
IRL,USD,2020,120.839902
IRL,USD,2021,130.552419
IRL,USD,2022,131.573368
ITA,USD,1996,49.964089
ITA,USD,1997,50.886196
ITA,USD,1998,50.921112
ITA,USD,1999,51.279218
ITA,USD,2000,52.751834
ITA,USD,2001,53.105591
ITA,USD,2002,52.689151
ITA,USD,2003,52.31578
ITA,USD,2004,52.754499
ITA,USD,2005,52.990201
ITA,USD,2006,52.873541
ITA,USD,2007,52.833352
ITA,USD,2008,52.532095
ITA,USD,2009,51.485627
ITA,USD,2010,52.656139
ITA,USD,2011,53.011615
ITA,USD,2012,52.728249
ITA,USD,2013,53.147359
ITA,USD,2014,53.189636
ITA,USD,2015,53.221214
ITA,USD,2016,53.057615
ITA,USD,2017,53.399887
ITA,USD,2018,53.393274
ITA,USD,2019,53.658554
ITA,USD,2020,55.319279
ITA,USD,2021,54.363363
ITA,USD,2022,54.208348
MEX,USD,1996,18.748189
MEX,USD,1997,18.531243
MEX,USD,1998,19.622722
MEX,USD,1999,19.27401
MEX,USD,2000,20.408184
MEX,USD,2001,20.546467
MEX,USD,2002,19.608957
MEX,USD,2003,20.222358
MEX,USD,2004,20.500537
MEX,USD,2005,18.773197
MEX,USD,2006,19.139057
MEX,USD,2007,19.361361
MEX,USD,2008,19.244617
MEX,USD,2009,18.100579
MEX,USD,2010,18.747871
MEX,USD,2011,19.079918
MEX,USD,2012,19.233563
MEX,USD,2013,19.227183
MEX,USD,2014,19.713514
MEX,USD,2015,19.841226
MEX,USD,2016,20.216638
MEX,USD,2017,20.329696
MEX,USD,2018,20.194667
MEX,USD,2019,19.706478
MEX,USD,2020,19.615134
MEX,USD,2021,18.903278
MEX,USD,2022,18.816095
NLD,USD,1996,54.029715
NLD,USD,1997,55.222705
NLD,USD,1998,56.578693
NLD,USD,1999,57.827451
NLD,USD,2000,59.696492
NLD,USD,2001,60.299505
NLD,USD,2002,60.739628
NLD,USD,2003,61.541637
NLD,USD,2004,62.603024
NLD,USD,2005,64.097939
NLD,USD,2006,65.051296
NLD,USD,2007,65.632495
NLD,USD,2008,66.009294
NLD,USD,2009,64.520326
NLD,USD,2010,65.852731
NLD,USD,2011,66.274742
NLD,USD,2012,66.176095
NLD,USD,2013,66.678971
NLD,USD,2014,67.172705
NLD,USD,2015,67.832959
NLD,USD,2016,67.727181
NLD,USD,2017,68.095551
NLD,USD,2018,67.876916
NLD,USD,2019,67.422659
NLD,USD,2020,67.520762
NLD,USD,2021,69.396516
NLD,USD,2022,69.659276
NZL,USD,1996,33.150303
NZL,USD,1997,34.286387
NZL,USD,1998,33.739451
NZL,USD,1999,34.132083
NZL,USD,2000,35.182969
NZL,USD,2001,35.847775
NZL,USD,2002,36.534192
NZL,USD,2003,37.226931
NZL,USD,2004,37.070365
NZL,USD,2005,36.982281
NZL,USD,2006,37.446902
NZL,USD,2007,38.923435
NZL,USD,2008,37.678837
NZL,USD,2009,39.66921
NZL,USD,2010,39.334324
NZL,USD,2011,40.079582
NZL,USD,2012,41.578263
NZL,USD,2013,40.710064
NZL,USD,2014,40.679625
NZL,USD,2015,41.622831
NZL,USD,2016,41.241456
NZL,USD,2017,41.303712
NZL,USD,2018,42.146039
NZL,USD,2019,41.888102
NZL,USD,2020,42.628104
NZL,USD,2021,43.67593
NZL,USD,2022,43.724728
NOR,USD,1996,68.30641
NOR,USD,1997,70.063617
NOR,USD,1998,70.147967
NOR,USD,1999,71.00691
NOR,USD,2000,73.801321
NOR,USD,2001,76.537053
NOR,USD,2002,78.183876
NOR,USD,2003,80.722504
NOR,USD,2004,82.393083
NOR,USD,2005,83.303
NOR,USD,2006,82.755687
NOR,USD,2007,81.266766
NOR,USD,2008,78.861584
NOR,USD,2009,78.797682
NOR,USD,2010,79.200218
NOR,USD,2011,78.674464
NOR,USD,2012,79.359797
NOR,USD,2013,79.849548
NOR,USD,2014,80.488668
NOR,USD,2015,81.517077
NOR,USD,2016,82.063215
NOR,USD,2017,83.761641
NOR,USD,2018,83.113366
NOR,USD,2019,82.793848
NOR,USD,2020,83.542256
NOR,USD,2021,84.774473
NOR,USD,2022,84.269856
SVK,USD,1996,20.198218
SVK,USD,1997,21.495784
SVK,USD,1998,22.578377
SVK,USD,1999,23.212321
SVK,USD,2000,23.959311
SVK,USD,2001,24.800377
SVK,USD,2002,26.583421
SVK,USD,2003,28.668586
SVK,USD,2004,29.479998
SVK,USD,2005,30.452693
SVK,USD,2006,32.274839
SVK,USD,2007,34.710747
SVK,USD,2008,35.458839
SVK,USD,2009,34.443631
SVK,USD,2010,36.808876
SVK,USD,2011,37.384872
SVK,USD,2012,37.942721
SVK,USD,2013,38.860596
SVK,USD,2014,39.622443
SVK,USD,2015,40.990746
SVK,USD,2016,41.14646
SVK,USD,2017,42.075311
SVK,USD,2018,43.157588
SVK,USD,2019,44.092757
SVK,USD,2020,46.757758
SVK,USD,2021,48.935667
SVK,USD,2022,47.753443
ESP,USD,1996,45.202211
ESP,USD,1997,45.126603
ESP,USD,1998,44.913991
ESP,USD,1999,44.755693
ESP,USD,2000,44.963723
ESP,USD,2001,45.035756
ESP,USD,2002,45.105579
ESP,USD,2003,45.239819
ESP,USD,2004,45.384816
ESP,USD,2005,45.562108
ESP,USD,2006,45.828539
ESP,USD,2007,46.335067
ESP,USD,2008,46.454358
ESP,USD,2009,47.573943
ESP,USD,2010,48.783311
ESP,USD,2011,49.503478
ESP,USD,2012,50.458453
ESP,USD,2013,51.203041
ESP,USD,2014,51.361566
ESP,USD,2015,51.769513
ESP,USD,2016,52.006193
ESP,USD,2017,52.460584
ESP,USD,2018,52.34069
ESP,USD,2019,52.631029
ESP,USD,2020,52.538852
ESP,USD,2021,52.140302
ESP,USD,2022,53.083471
SWE,USD,1996,48.925467
SWE,USD,1997,50.933771
SWE,USD,1998,52.283903
SWE,USD,1999,53.089067
SWE,USD,2000,55.003831
SWE,USD,2001,55.439481
SWE,USD,2002,57.448729
SWE,USD,2003,59.62107
SWE,USD,2004,61.719788
SWE,USD,2005,63.473288
SWE,USD,2006,65.301313
SWE,USD,2007,65.489276
SWE,USD,2008,64.336167
SWE,USD,2009,63.430047
SWE,USD,2010,65.653328
SWE,USD,2011,66.185529
SWE,USD,2012,65.868736
SWE,USD,2013,66.395834
SWE,USD,2014,67.152902
SWE,USD,2015,69.074511
SWE,USD,2016,68.649665
SWE,USD,2017,69.261329
SWE,USD,2018,69.514519
SWE,USD,2019,71.101216
SWE,USD,2020,71.857873
SWE,USD,2021,74.392134
SWE,USD,2022,74.744087
CHE,USD,1996,57.36036
CHE,USD,1997,59.07094
CHE,USD,1998,59.777296
CHE,USD,1999,59.513008
CHE,USD,2000,61.43702
CHE,USD,2001,62.847795
CHE,USD,2002,63.171539
CHE,USD,2003,62.87144
CHE,USD,2004,63.23669
CHE,USD,2005,64.693828
CHE,USD,2006,66.315161
CHE,USD,2007,67.595243
CHE,USD,2008,68.253612
CHE,USD,2009,66.723475
CHE,USD,2010,68.620315
CHE,USD,2011,68.227615
CHE,USD,2012,68.49478
CHE,USD,2013,69.759903
CHE,USD,2014,70.447419
CHE,USD,2015,69.982344
CHE,USD,2016,70.431631
CHE,USD,2017,71.561236
CHE,USD,2018,73.212853
CHE,USD,2019,73.619376
CHE,USD,2020,74.834673
CHE,USD,2021,76.945338
CHE,USD,2022,77.694524
GBR,USD,1996,44.919144
GBR,USD,1997,46.302336
GBR,USD,1998,47.536681
GBR,USD,1999,48.602156
GBR,USD,2000,50.589492
GBR,USD,2001,51.315983
GBR,USD,2002,52.4469
GBR,USD,2003,53.88204
GBR,USD,2004,54.602434
GBR,USD,2005,55.109409
GBR,USD,2006,56.146209
GBR,USD,2007,56.972872
GBR,USD,2008,56.967469
GBR,USD,2009,55.533851
GBR,USD,2010,56.977221
GBR,USD,2011,57.032645
GBR,USD,2012,56.684977
GBR,USD,2013,56.941975
GBR,USD,2014,57.079781
GBR,USD,2015,57.996682
GBR,USD,2016,57.643436
GBR,USD,2017,58.806296
GBR,USD,2018,58.909183
GBR,USD,2019,59.200826
GBR,USD,2020,60.309119
GBR,USD,2021,59.878307
GBR,USD,2022,60.481922
USA,USD,1996,49.666111
USA,USD,1997,50.386032
USA,USD,1998,51.519575
USA,USD,1999,53.041436
USA,USD,2000,54.498167
USA,USD,2001,55.693841
USA,USD,2002,57.234571
USA,USD,2003,58.965218
USA,USD,2004,60.508037
USA,USD,2005,61.772075
USA,USD,2006,62.356937
USA,USD,2007,63.232583
USA,USD,2008,64.042431
USA,USD,2009,66.089234
USA,USD,2010,67.835887
USA,USD,2011,67.86187
USA,USD,2012,68.118059
USA,USD,2013,68.407849
USA,USD,2014,68.665009
USA,USD,2015,69.047471
USA,USD,2016,69.256659
USA,USD,2017,69.876907
USA,USD,2018,70.664702
USA,USD,2019,71.520554
USA,USD,2020,73.957559
USA,USD,2021,74.838217
USA,USD,2022,73.989507
CRI,USD,1996,12.927027
CRI,USD,1997,12.742868
CRI,USD,1998,12.883903
CRI,USD,1999,13.181781
CRI,USD,2000,13.419427
CRI,USD,2001,13.340478
CRI,USD,2002,13.431107
CRI,USD,2003,13.62039
CRI,USD,2004,13.961451
CRI,USD,2005,13.718511
CRI,USD,2006,14.259665
CRI,USD,2007,14.453706
CRI,USD,2008,14.909054
CRI,USD,2009,15.331663
CRI,USD,2010,17.122775
CRI,USD,2011,17.944786
CRI,USD,2012,17.694625
CRI,USD,2013,18.620355
CRI,USD,2014,19.093774
CRI,USD,2015,19.707747
CRI,USD,2016,20.571849
CRI,USD,2017,21.056646
CRI,USD,2018,21.446167
CRI,USD,2019,22.038536
CRI,USD,2020,25.395334
CRI,USD,2021,24.023111
CRI,USD,2022,22.861294
