LOCATION,MEASURE,TIME,Value
AUT,AGRWTH,1996,-0.031777
AUT,AGRWTH,1997,0.710362
AUT,AGRWTH,1998,3.820385
AUT,AGRWTH,1999,1.918016
AUT,AGRWTH,2000,2.617126
AUT,AGRWTH,2001,1.991982
AUT,AGRWTH,2002,2.389616
AUT,AGRWTH,2003,2.177083
AUT,AGRWTH,2004,1.650115
AUT,AGRWTH,2005,2.789058
AUT,AGRWTH,2006,3.966906
AUT,AGRWTH,2007,3.148747
AUT,AGRWTH,2008,3.042324
AUT,AGRWTH,2009,4.226997
AUT,AGRWTH,2010,1.116817
AUT,AGRWTH,2011,2.035219
AUT,AGRWTH,2012,3.724269
AUT,AGRWTH,2013,2.925548
AUT,AGRWTH,2014,2.221137
AUT,AGRWTH,2015,3.287842
AUT,AGRWTH,2016,1.540297
AUT,AGRWTH,2017,2.394416
AUT,AGRWTH,2018,2.93653
AUT,AGRWTH,2019,2.135293
AUT,AGRWTH,2020,10.092257
AUT,AGRWTH,2021,-0.583733
AUT,AGRWTH,2022,4.832857
CZE,AGRWTH,1996,17.613248
CZE,AGRWTH,1997,10.036688
CZE,AGRWTH,1998,7.777189
CZE,AGRWTH,1999,4.819705
CZE,AGRWTH,2000,7.616717
CZE,AGRWTH,2001,13.605972
CZE,AGRWTH,2002,8.393537
CZE,AGRWTH,2003,9.084076
CZE,AGRWTH,2004,6.467072
CZE,AGRWTH,2005,3.460333
CZE,AGRWTH,2006,6.727779
CZE,AGRWTH,2007,6.689766
CZE,AGRWTH,2008,3.223054
CZE,AGRWTH,2009,-0.503854
CZE,AGRWTH,2010,2.465206
CZE,AGRWTH,2011,2.300515
CZE,AGRWTH,2012,2.600969
CZE,AGRWTH,2013,0.132803
CZE,AGRWTH,2014,2.348947
CZE,AGRWTH,2015,4.517817
CZE,AGRWTH,2016,2.51093
CZE,AGRWTH,2017,7.32301
CZE,AGRWTH,2018,7.639865
CZE,AGRWTH,2019,6.65682
CZE,AGRWTH,2020,9.620624
CZE,AGRWTH,2021,2.268638
CZE,AGRWTH,2022,3.339698
FIN,AGRWTH,1996,2.838808
FIN,AGRWTH,1997,1.618411
FIN,AGRWTH,1998,4.972391
FIN,AGRWTH,1999,3.651956
FIN,AGRWTH,2000,4.361975
FIN,AGRWTH,2001,4.303674
FIN,AGRWTH,2002,2.001799
FIN,AGRWTH,2003,2.325191
FIN,AGRWTH,2004,3.414595
FIN,AGRWTH,2005,4.097053
FIN,AGRWTH,2006,3.463032
FIN,AGRWTH,2007,3.285353
FIN,AGRWTH,2008,4.404562
FIN,AGRWTH,2009,3.623842
FIN,AGRWTH,2010,1.557834
FIN,AGRWTH,2011,3.421563
FIN,AGRWTH,2012,3.32384
FIN,AGRWTH,2013,1.657332
FIN,AGRWTH,2014,1.12718
FIN,AGRWTH,2015,1.524571
FIN,AGRWTH,2016,0.891697
FIN,AGRWTH,2017,-0.902901
FIN,AGRWTH,2018,1.465896
FIN,AGRWTH,2019,2.166117
FIN,AGRWTH,2020,0.782417
FIN,AGRWTH,2021,4.538941
FIN,AGRWTH,2022,3.45377
FRA,AGRWTH,1996,2.027365
FRA,AGRWTH,1997,1.684985
FRA,AGRWTH,1998,2.107861
FRA,AGRWTH,1999,1.903937
FRA,AGRWTH,2000,4.019442
FRA,AGRWTH,2001,3.908356
FRA,AGRWTH,2002,5.651682
FRA,AGRWTH,2003,2.673525
FRA,AGRWTH,2004,1.782001
FRA,AGRWTH,2005,2.882639
FRA,AGRWTH,2006,4.335613
FRA,AGRWTH,2007,0.830969
FRA,AGRWTH,2008,1.991141
FRA,AGRWTH,2009,2.572076
FRA,AGRWTH,2010,2.232579
FRA,AGRWTH,2011,1.852085
FRA,AGRWTH,2012,2.570975
FRA,AGRWTH,2013,2.688136
FRA,AGRWTH,2014,1.563929
FRA,AGRWTH,2015,1.049999
FRA,AGRWTH,2016,0.804341
FRA,AGRWTH,2017,2.756442
FRA,AGRWTH,2018,1.141346
FRA,AGRWTH,2019,-0.343469
FRA,AGRWTH,2020,4.529855
FRA,AGRWTH,2021,-0.781965
FRA,AGRWTH,2022,3.076146
DEU,AGRWTH,1996,2.085536
DEU,AGRWTH,1997,1.439934
DEU,AGRWTH,1998,1.201966
DEU,AGRWTH,1999,2.178739
DEU,AGRWTH,2000,3.418983
DEU,AGRWTH,2001,2.363219
DEU,AGRWTH,2002,1.789037
DEU,AGRWTH,2003,2.129195
DEU,AGRWTH,2004,0.361232
DEU,AGRWTH,2005,1.071073
DEU,AGRWTH,2006,-0.785439
DEU,AGRWTH,2007,0.796572
DEU,AGRWTH,2008,2.709435
DEU,AGRWTH,2009,3.813464
DEU,AGRWTH,2010,0.729342
DEU,AGRWTH,2011,2.705914
DEU,AGRWTH,2012,3.980933
DEU,AGRWTH,2013,2.649991
DEU,AGRWTH,2014,2.33401
DEU,AGRWTH,2015,2.558737
DEU,AGRWTH,2016,2.50909
DEU,AGRWTH,2017,2.82971
DEU,AGRWTH,2018,3.342463
DEU,AGRWTH,2019,3.813698
DEU,AGRWTH,2020,4.156905
DEU,AGRWTH,2021,0.591476
DEU,AGRWTH,2022,3.984836
HUN,AGRWTH,1996,22.484476
