LOCATION,MEASURE,TIME,Value
AUT,THND_PER,1996,3679
AUT,THND_PER,1997,3684
AUT,THND_PER,1998,3689
AUT,THND_PER,1999,3731
AUT,THND_PER,2000,3741
AUT,THND_PER,2001,3708
AUT,THND_PER,2002,3757
AUT,THND_PER,2003,3790
AUT,THND_PER,2004,3732
AUT,THND_PER,2005,3747.425
AUT,THND_PER,2006,3825.975
AUT,THND_PER,2007,3923.575
AUT,THND_PER,2008,3994
AUT,THND_PER,2009,3982.1
AUT,THND_PER,2010,4016.625
AUT,THND_PER,2011,4052.425
AUT,THND_PER,2012,4084.4
AUT,THND_PER,2013,4104.55
AUT,THND_PER,2014,4112.675
AUT,THND_PER,2015,4148.275
AUT,THND_PER,2016,4220.175
AUT,THND_PER,2017,4260.1
AUT,THND_PER,2018,4319
AUT,THND_PER,2019,4354.65
AUT,THND_PER,2020,4296.8
AUT,THND_PER,2021,4305.9
AUT,THND_PER,2022,4442.475
CZE,THND_PER,1996,4914.538
CZE,THND_PER,1997,4884.378
CZE,THND_PER,1998,4817.696
CZE,THND_PER,1999,4714.025
CZE,THND_PER,2000,4681.2
CZE,THND_PER,2001,4683.55
CZE,THND_PER,2002,4731.1
CZE,THND_PER,2003,4701.15
CZE,THND_PER,2004,4690.55
CZE,THND_PER,2005,4764.025
CZE,THND_PER,2006,4828.075
CZE,THND_PER,2007,4921.95
CZE,THND_PER,2008,5002.5
CZE,THND_PER,2009,4934.275
CZE,THND_PER,2010,4885.1
CZE,THND_PER,2011,4872.7
CZE,THND_PER,2012,4889.975
CZE,THND_PER,2013,4937.075
CZE,THND_PER,2014,4974.175
CZE,THND_PER,2015,5041.9
CZE,THND_PER,2016,5138.4
CZE,THND_PER,2017,5221.475
CZE,THND_PER,2018,5293.65
CZE,THND_PER,2019,5302.9
CZE,THND_PER,2020,5234.925
CZE,THND_PER,2021,5213.375
CZE,THND_PER,2022,5173
FIN,THND_PER,1996,2119
FIN,THND_PER,1997,2162
FIN,THND_PER,1998,2203.45
FIN,THND_PER,1999,2295.925
FIN,THND_PER,2000,2335.425
FIN,THND_PER,2001,2367.025
FIN,THND_PER,2002,2372.35
FIN,THND_PER,2003,2364.925
FIN,THND_PER,2004,2364.65
FIN,THND_PER,2005,2400.825
FIN,THND_PER,2006,2443.475
FIN,THND_PER,2007,2491.625
FIN,THND_PER,2008,2530.875
FIN,THND_PER,2009,2457.275
FIN,THND_PER,2010,2447.475
FIN,THND_PER,2011,2473.675
FIN,THND_PER,2012,2483.225
FIN,THND_PER,2013,2456.725
FIN,THND_PER,2014,2447.25
FIN,THND_PER,2015,2436.8
FIN,THND_PER,2016,2448.1
FIN,THND_PER,2017,2473.2
FIN,THND_PER,2018,2539.925
FIN,THND_PER,2019,2565.6
FIN,THND_PER,2020,2528.2
FIN,THND_PER,2021,2573.35
FIN,THND_PER,2022,2640.2
FRA,THND_PER,1996,22973.49
FRA,THND_PER,1997,23104.05
FRA,THND_PER,1998,23520.51
FRA,THND_PER,1999,24005.29
FRA,THND_PER,2000,24628.81
FRA,THND_PER,2001,25098.8
FRA,THND_PER,2002,25290.03
FRA,THND_PER,2003,24704.82
FRA,THND_PER,2004,24808.03
FRA,THND_PER,2005,24984.18
FRA,THND_PER,2006,25150.15
FRA,THND_PER,2007,25586.68
FRA,THND_PER,2008,25926.43
FRA,THND_PER,2009,25674.38
FRA,THND_PER,2010,25730.68
FRA,THND_PER,2011,25758.82
FRA,THND_PER,2012,25804.22
FRA,THND_PER,2013,25785.3
FRA,THND_PER,2014,26376
FRA,THND_PER,2015,26441.8
FRA,THND_PER,2016,26579.68
FRA,THND_PER,2017,26802.97
FRA,THND_PER,2018,27021.38
FRA,THND_PER,2019,27132.18
FRA,THND_PER,2020,26995.32
FRA,THND_PER,2021,27727.6
FRA,THND_PER,2022,28341.1
DEU,THND_PER,1996,35636.75
DEU,THND_PER,1997,35508
DEU,THND_PER,1998,36061.25
DEU,THND_PER,1999,36042.38
DEU,THND_PER,2000,36235.5
DEU,THND_PER,2001,36346.18
DEU,THND_PER,2002,36061.38
DEU,THND_PER,2003,35753.58
DEU,THND_PER,2004,35875.68
DEU,THND_PER,2005,36361.15
DEU,THND_PER,2006,37172.1
DEU,THND_PER,2007,37988.35
DEU,THND_PER,2008,38540.85
DEU,THND_PER,2009,38470.7
DEU,THND_PER,2010,37992.23
