LOCATION,MEASURE,TIME,Value
AUS,USD_CAP,1996,22509.12478
AUS,USD_CAP,1997,23707.0578
AUS,USD_CAP,1998,24923.34815
AUS,USD_CAP,1999,26377.81146
AUS,USD_CAP,2000,27540.44951
AUS,USD_CAP,2001,28761.24262
AUS,USD_CAP,2002,29956.81811
AUS,USD_CAP,2003,31487.27611
AUS,USD_CAP,2004,32759.45412
AUS,USD_CAP,2005,34297.91549
AUS,USD_CAP,2006,36274.20877
AUS,USD_CAP,2007,38080.76988
AUS,USD_CAP,2008,38725.62493
AUS,USD_CAP,2009,40065.05375
AUS,USD_CAP,2010,41103.62449
AUS,USD_CAP,2011,43106.68905
AUS,USD_CAP,2012,42816.95087
AUS,USD_CAP,2013,46545.20082
AUS,USD_CAP,2014,46675.7969
AUS,USD_CAP,2015,46145.51255
AUS,USD_CAP,2016,48778.61106
AUS,USD_CAP,2017,49158.52107
AUS,USD_CAP,2018,51333.5217
AUS,USD_CAP,2019,51726.78345
AUS,USD_CAP,2020,55391.68623
AUS,USD_CAP,2021,60374.60092
AUS,USD_CAP,2022,66546.83862
CZE,USD_CAP,1996,14470.77919
CZE,USD_CAP,1997,14602.63582
CZE,USD_CAP,1998,14756.3488
CZE,USD_CAP,1999,15112.25605
CZE,USD_CAP,2000,15895.75447
CZE,USD_CAP,2001,17115.37613
CZE,USD_CAP,2002,17589.47822
CZE,USD_CAP,2003,18867.98555
CZE,USD_CAP,2004,19921.54597
CZE,USD_CAP,2005,21027.41177
CZE,USD_CAP,2006,22372.72791
CZE,USD_CAP,2007,24536.06898
CZE,USD_CAP,2008,26156.67741
CZE,USD_CAP,2009,25728.11158
CZE,USD_CAP,2010,25688.23762
CZE,USD_CAP,2011,26659.3708
CZE,USD_CAP,2012,27377.5361
CZE,USD_CAP,2013,28870.33082
CZE,USD_CAP,2014,30272.95888
CZE,USD_CAP,2015,31583.65796
CZE,USD_CAP,2016,33665.78791
CZE,USD_CAP,2017,36643.67433
CZE,USD_CAP,2018,38897.89755
CZE,USD_CAP,2019,41550.46373
CZE,USD_CAP,2020,40682.89566
CZE,USD_CAP,2021,42984.08672
CZE,USD_CAP,2022,46819.46099
FIN,USD_CAP,1996,19634.57996
FIN,USD_CAP,1997,21468.6784
FIN,USD_CAP,1998,23123.2532
FIN,USD_CAP,1999,24519.32841
FIN,USD_CAP,2000,26623.03103
FIN,USD_CAP,2001,27790.8775
FIN,USD_CAP,2002,28691.81329
FIN,USD_CAP,2003,28881.88167
FIN,USD_CAP,2004,31421.2917
FIN,USD_CAP,2005,32185.46841
FIN,USD_CAP,2006,34766.12327
FIN,USD_CAP,2007,37953.9241
FIN,USD_CAP,2008,40150.96721
FIN,USD_CAP,2009,38444.01342
FIN,USD_CAP,2010,39458.08014
FIN,USD_CAP,2011,41073.28941
FIN,USD_CAP,2012,41063.96631
FIN,USD_CAP,2013,41663.30011
FIN,USD_CAP,2014,42167.77302
FIN,USD_CAP,2015,42908.10801
FIN,USD_CAP,2016,45139.00072
FIN,USD_CAP,2017,47594.02385
FIN,USD_CAP,2018,49772.43043
FIN,USD_CAP,2019,52078.80305
FIN,USD_CAP,2020,53147.61477
FIN,USD_CAP,2021,55628.54834
FIN,USD_CAP,2022,59965.82647
FRA,USD_CAP,1996,21544.7038
FRA,USD_CAP,1997,22517.8812
FRA,USD_CAP,1998,23668.45687
FRA,USD_CAP,1999,24796.27876
FRA,USD_CAP,2000,26512.04671
FRA,USD_CAP,2001,27995.34496
FRA,USD_CAP,2002,28825.29053
FRA,USD_CAP,2003,28552.57667
FRA,USD_CAP,2004,29467.60367
FRA,USD_CAP,2005,31026.38684
FRA,USD_CAP,2006,33121.95421
FRA,USD_CAP,2007,34810.70651
FRA,USD_CAP,2008,35867.53363
FRA,USD_CAP,2009,35484.22022
FRA,USD_CAP,2010,36741.44597
FRA,USD_CAP,2011,38443.50801
FRA,USD_CAP,2012,38508.15044
FRA,USD_CAP,2013,40413.89216
FRA,USD_CAP,2014,41014.14171
FRA,USD_CAP,2015,41711.64942
FRA,USD_CAP,2016,43762.50454
FRA,USD_CAP,2017,45449.45452
FRA,USD_CAP,2018,47411.19209
FRA,USD_CAP,2019,51304.26353
FRA,USD_CAP,2020,48355.06755
FRA,USD_CAP,2021,52146.53617
FRA,USD_CAP,2022,55962.83206
DEU,USD_CAP,1996,24214.67828
DEU,USD_CAP,1997,24683.60124
DEU,USD_CAP,1998,25386.66935
DEU,USD_CAP,1999,26326.85002
DEU,USD_CAP,2000,27301.81649
DEU,USD_CAP,2001,28462.55911
DEU,USD_CAP,2002,29191.28971
DEU,USD_CAP,2003,29963.51495
DEU,USD_CAP,2004,31933.61601
DEU,USD_CAP,2005,32502.89756
DEU,USD_CAP,2006,35250.82537
DEU,USD_CAP,2007,37398.38838
DEU,USD_CAP,2008,38797.30511
DEU,USD_CAP,2009,38310.19189
DEU,USD_CAP,2010,40470.85409
DEU,USD_CAP,2011,43630.88959
DEU,USD_CAP,2012,44399.89459
DEU,USD_CAP,2013,46035.53128
DEU,USD_CAP,2014,47953.1665
DEU,USD_CAP,2015,48694.52167
DEU,USD_CAP,2016,51834.21712
DEU,USD_CAP,2017,54335.98615
DEU,USD_CAP,2018,57056.54501
DEU,USD_CAP,2019,59560.12096
DEU,USD_CAP,2020,58066.13886
DEU,USD_CAP,2021,61330.14117
DEU,USD_CAP,2022,65992.60772
HUN,USD_CAP,1996,8929.648171
HUN,USD_CAP,1997,9226.069975
HUN,USD_CAP,1998,9753.177005
HUN,USD_CAP,1999,10168.13817
HUN,USD_CAP,2000,11166.86009
HUN,USD_CAP,2001,12443.74556
HUN,USD_CAP,2002,13700.43217
HUN,USD_CAP,2003,14612.65975
HUN,USD_CAP,2004,15274.93792
HUN,USD_CAP,2005,16035.34126
HUN,USD_CAP,2006,17245.45203
HUN,USD_CAP,2007,17649.0082
HUN,USD_CAP,2008,19358.19585
HUN,USD_CAP,2009,19820.86607
HUN,USD_CAP,2010,20718.23173
HUN,USD_CAP,2011,21914.22395
HUN,USD_CAP,2012,22282.36189
HUN,USD_CAP,2013,23833.94672
HUN,USD_CAP,2014,24531.97584
HUN,USD_CAP,2015,25516.08945
HUN,USD_CAP,2016,27188.31044
HUN,USD_CAP,2017,28302.7735
HUN,USD_CAP,2018,30659.05976
HUN,USD_CAP,2019,33731.08491
HUN,USD_CAP,2020,33353.73508
HUN,USD_CAP,2021,35567.46354
HUN,USD_CAP,2022,40276.6259
IRL,USD_CAP,1996,18889.35347
IRL,USD_CAP,1997,20505.09216
IRL,USD_CAP,1998,22467.57522
IRL,USD_CAP,1999,23585.49199
IRL,USD_CAP,2000,26343.30256
IRL,USD_CAP,2001,27843.00026
IRL,USD_CAP,2002,29530.96419
IRL,USD_CAP,2003,31278.22569
IRL,USD_CAP,2004,33457.29078
IRL,USD_CAP,2005,35044.75201
IRL,USD_CAP,2006,38821.00133
IRL,USD_CAP,2007,40431.5855
IRL,USD_CAP,2008,38178.61307
IRL,USD_CAP,2009,34616.33299
IRL,USD_CAP,2010,36322.68695
IRL,USD_CAP,2011,36713.23904
IRL,USD_CAP,2012,37535.11505
IRL,USD_CAP,2013,40476.51175
IRL,USD_CAP,2014,43304.85625
IRL,USD_CAP,2015,53243.96846
IRL,USD_CAP,2016,58417.74123
IRL,USD_CAP,2017,62070.4122
IRL,USD_CAP,2018,65780.80334
IRL,USD_CAP,2019,69786.74773
IRL,USD_CAP,2020,70791.4969
IRL,USD_CAP,2021,81104.15918
ITA,USD_CAP,1996,22835.81961
