LOCATION,MEASURE,TIME,Value
AUT,PC_AGE,1996,3.010497128
AUT,PC_AGE,1997,3.070329642
AUT,PC_AGE,1998,2.954666304
AUT,PC_AGE,1999,2.539934139
AUT,PC_AGE,2000,2.70526322
AUT,PC_AGE,2001,3.33982632
AUT,PC_AGE,2002,2.551251256
AUT,PC_AGE,2003,2.482799087
AUT,PC_AGE,2004,2.078677334
AUT,PC_AGE,2005,2.865922829
AUT,PC_AGE,2006,3.318754292
AUT,PC_AGE,2007,4.454002713
AUT,PC_AGE,2008,4.771582876
AUT,PC_AGE,2009,5.231476809
AUT,PC_AGE,2010,5.161362286
AUT,PC_AGE,2011,4.966837941
AUT,PC_AGE,2012,4.942143489
AUT,PC_AGE,2013,5.082461518
AUT,PC_AGE,2014,5.259094526
AUT,PC_AGE,2015,5.309092517
AUT,PC_AGE,2016,5.042337572
AUT,PC_AGE,2017,4.840500275
AUT,PC_AGE,2018,4.941303891
AUT,PC_AGE,2019,4.662527803
AUT,PC_AGE,2020,4.479271666
AUT,PC_AGE,2021,4.514920186
AUT,PC_AGE,2022,5.094283856
CZE,PC_AGE,1996,5.451131766
CZE,PC_AGE,1997,5.076787641
CZE,PC_AGE,1998,4.781998169
CZE,PC_AGE,1999,4.593710968
CZE,PC_AGE,2000,4.096833915
CZE,PC_AGE,2001,3.9773433
CZE,PC_AGE,2002,3.994589375
CZE,PC_AGE,2003,3.944038245
CZE,PC_AGE,2004,3.736417806
CZE,PC_AGE,2005,3.860255967
CZE,PC_AGE,2006,4.112391734
CZE,PC_AGE,2007,4.46053162
CZE,PC_AGE,2008,4.53893309
CZE,PC_AGE,2009,4.910858821
CZE,PC_AGE,2010,4.750152546
CZE,PC_AGE,2011,4.634986222
CZE,PC_AGE,2012,4.729445227
CZE,PC_AGE,2013,5.151879726
CZE,PC_AGE,2014,4.967672675
CZE,PC_AGE,2015,5.698281197
CZE,PC_AGE,2016,6.311100631
CZE,PC_AGE,2017,6.406758724
CZE,PC_AGE,2018,7.187532157
CZE,PC_AGE,2019,7.251086514
CZE,PC_AGE,2020,6.917249197
CZE,PC_AGE,2021,6.821079417
CZE,PC_AGE,2022,6.944743954
FIN,PC_AGE,1996,2.995391705
FIN,PC_AGE,1997,3.440366972
FIN,PC_AGE,1998,3.203661327
FIN,PC_AGE,1999,3.448275862
FIN,PC_AGE,2000,3.669724771
FIN,PC_AGE,2001,3.652968037
FIN,PC_AGE,2002,4.10022779
FIN,PC_AGE,2003,4.514672686
FIN,PC_AGE,2004,4.697986577
FIN,PC_AGE,2005,5.077262693
FIN,PC_AGE,2006,5.921052632
FIN,PC_AGE,2007,7.112068966
FIN,PC_AGE,2008,7.280513919
FIN,PC_AGE,2009,7.1278826
FIN,PC_AGE,2010,7.770961145
FIN,PC_AGE,2011,4.69043155
FIN,PC_AGE,2012,5.113294519
FIN,PC_AGE,2013,5.208835667
FIN,PC_AGE,2014,5.681288936
FIN,PC_AGE,2015,6.234751982
FIN,PC_AGE,2016,6.139548111
FIN,PC_AGE,2017,6.159413903
FIN,PC_AGE,2018,6.416385797
FIN,PC_AGE,2019,6.592699176
FIN,PC_AGE,2020,6.353471275
FIN,PC_AGE,2021,12.3868223
FIN,PC_AGE,2022,13.73207529
FRA,PC_AGE,1996,1.827281192
FRA,PC_AGE,1997,1.556776557
FRA,PC_AGE,1998,1.53949882
FRA,PC_AGE,1999,1.368049426
FRA,PC_AGE,2000,1.320422535
FRA,PC_AGE,2001,1.28983308
FRA,PC_AGE,2002,1.36737528
FRA,PC_AGE,2003,1.109936575
FRA,PC_AGE,2004,1.126760563
FRA,PC_AGE,2005,1.175015461
FRA,PC_AGE,2006,1.084509924
FRA,PC_AGE,2007,1.35148867
FRA,PC_AGE,2008,1.419224962
FRA,PC_AGE,2009,1.383497561
FRA,PC_AGE,2010,1.562653563
FRA,PC_AGE,2011,1.972481478
FRA,PC_AGE,2012,2.289291721
FRA,PC_AGE,2013,2.293120638
FRA,PC_AGE,2014,2.414186639
FRA,PC_AGE,2015,2.677881727
FRA,PC_AGE,2016,2.928135196
FRA,PC_AGE,2017,3.098247044
FRA,PC_AGE,2018,3.080852422
FRA,PC_AGE,2019,3.401137785
FRA,PC_AGE,2020,3.383616201
FRA,PC_AGE,2021,3.547703527
FRA,PC_AGE,2022,4.013154534
DEU,PC_AGE,1996,2.620741295
DEU,PC_AGE,1997,2.757448067
DEU,PC_AGE,1998,2.734604106
DEU,PC_AGE,1999,2.655066377
DEU,PC_AGE,2000,2.664220183
DEU,PC_AGE,2001,2.836322069
DEU,PC_AGE,2002,2.851394478
DEU,PC_AGE,2003,2.913353441
DEU,PC_AGE,2004,2.803617571
DEU,PC_AGE,2005,3.403893898
DEU,PC_AGE,2006,3.469569646
DEU,PC_AGE,2007,3.717980602
DEU,PC_AGE,2008,3.959241299
DEU,PC_AGE,2009,4.085851523
DEU,PC_AGE,2010,4.046626804
DEU,PC_AGE,2011,4.61576385
DEU,PC_AGE,2012,4.971868885
DEU,PC_AGE,2013,5.436623125
DEU,PC_AGE,2014,5.808880655
