LOCATION,MEASURE,TIME,Value
AUT,HR_WKD,1996,1683.260109
AUT,HR_WKD,1997,1691.103596
AUT,HR_WKD,1998,1670.928503
AUT,HR_WKD,1999,1674.598937
AUT,HR_WKD,2000,1675.028173
AUT,HR_WKD,2001,1662.908966
AUT,HR_WKD,2002,1660.513257
AUT,HR_WKD,2003,1652.251815
AUT,HR_WKD,2004,1654.569079
AUT,HR_WKD,2005,1632.237798
AUT,HR_WKD,2006,1616.572117
AUT,HR_WKD,2007,1606.428996
AUT,HR_WKD,2008,1599.365355
AUT,HR_WKD,2009,1558.272768
AUT,HR_WKD,2010,1551.537719
AUT,HR_WKD,2011,1556.980646
AUT,HR_WKD,2012,1534.781225
AUT,HR_WKD,2013,1520.079119
AUT,HR_WKD,2014,1510.297871
AUT,HR_WKD,2015,1495.130107
AUT,HR_WKD,2016,1507.173096
AUT,HR_WKD,2017,1497.904325
AUT,HR_WKD,2018,1501.7403
AUT,HR_WKD,2019,1509.59166
AUT,HR_WKD,2020,1400.786923
AUT,HR_WKD,2021,1439.09392
AUT,HR_WKD,2022,1443.720369
CZE,HR_WKD,1996,1829.378306
CZE,HR_WKD,1997,1837.918675
CZE,HR_WKD,1998,1860.876878
CZE,HR_WKD,1999,1890.601102
CZE,HR_WKD,2000,1900.259727
CZE,HR_WKD,2001,1823.32334
CZE,HR_WKD,2002,1812.215001
CZE,HR_WKD,2003,1799.047882
CZE,HR_WKD,2004,1813.655779
CZE,HR_WKD,2005,1802.926072
CZE,HR_WKD,2006,1789.228934
CZE,HR_WKD,2007,1775.017312
CZE,HR_WKD,2008,1789.614454
CZE,HR_WKD,2009,1778.801002
CZE,HR_WKD,2010,1799.099746
CZE,HR_WKD,2011,1805.47337
CZE,HR_WKD,2012,1776.448316
CZE,HR_WKD,2013,1764.302008
CZE,HR_WKD,2014,1773.81181
CZE,HR_WKD,2015,1751.474214
CZE,HR_WKD,2016,1774.046355
CZE,HR_WKD,2017,1776.447703
CZE,HR_WKD,2018,1784.666363
CZE,HR_WKD,2019,1786.033445
CZE,HR_WKD,2020,1676.853401
CZE,HR_WKD,2021,1722.123952
CZE,HR_WKD,2022,1754.05033
FIN,HR_WKD,1996,1675.336543
FIN,HR_WKD,1997,1671.279984
FIN,HR_WKD,1998,1661.330005
FIN,HR_WKD,1999,1660.985961
FIN,HR_WKD,2000,1649.91737
FIN,HR_WKD,2001,1635.596054
FIN,HR_WKD,2002,1628.416715
FIN,HR_WKD,2003,1622.527089
FIN,HR_WKD,2004,1623.764008
FIN,HR_WKD,2005,1613.453665
FIN,HR_WKD,2006,1608.32837
FIN,HR_WKD,2007,1604.729982
FIN,HR_WKD,2008,1600.640329
FIN,HR_WKD,2009,1580.044997
FIN,HR_WKD,2010,1585.263536
FIN,HR_WKD,2011,1577.897629
FIN,HR_WKD,2012,1567.668699
FIN,HR_WKD,2013,1560.351812
FIN,HR_WKD,2014,1557.797344
FIN,HR_WKD,2015,1555.480331
FIN,HR_WKD,2016,1554.670452
FIN,HR_WKD,2017,1548.879611
FIN,HR_WKD,2018,1546.373238
FIN,HR_WKD,2019,1538.371186
FIN,HR_WKD,2020,1529.948966
FIN,HR_WKD,2021,1525.041342
FIN,HR_WKD,2022,1498.068704
FRA,HR_WKD,1996,1597.281509
FRA,HR_WKD,1997,1595.645328
FRA,HR_WKD,1998,1585.289681
FRA,HR_WKD,1999,1578.30451
FRA,HR_WKD,2000,1558.338802
FRA,HR_WKD,2001,1537.956604
FRA,HR_WKD,2002,1503.886735
FRA,HR_WKD,2003,1507.256771
FRA,HR_WKD,2004,1530.856012
FRA,HR_WKD,2005,1532.075909
FRA,HR_WKD,2006,1515.0112
FRA,HR_WKD,2007,1536.815501
FRA,HR_WKD,2008,1542.796085
FRA,HR_WKD,2009,1531.451173
FRA,HR_WKD,2010,1539.803062
FRA,HR_WKD,2011,1546.331189
FRA,HR_WKD,2012,1540.880619
FRA,HR_WKD,2013,1526.242001
FRA,HR_WKD,2014,1518.111034
FRA,HR_WKD,2015,1519.484356
FRA,HR_WKD,2016,1522.069358
FRA,HR_WKD,2017,1507.60482
FRA,HR_WKD,2018,1514.410327
FRA,HR_WKD,2019,1518.157256
FRA,HR_WKD,2020,1402.643508
FRA,HR_WKD,2021,1483.792705
FRA,HR_WKD,2022,1511.400222
DEU,HR_WKD,1996,1516.762304
DEU,HR_WKD,1997,1507.683833
DEU,HR_WKD,1998,1504.546772
DEU,HR_WKD,1999,1491.515798
DEU,HR_WKD,2000,1465.935929
DEU,HR_WKD,2001,1458.153792
DEU,HR_WKD,2002,1448.915217
DEU,HR_WKD,2003,1443.399674
DEU,HR_WKD,2004,1442.585387
DEU,HR_WKD,2005,1432.42034
DEU,HR_WKD,2006,1453.181614
DEU,HR_WKD,2007,1454.098927
DEU,HR_WKD,2008,1447.333317
DEU,HR_WKD,2009,1405.048725
DEU,HR_WKD,2010,1425.741595
DEU,HR_WKD,2011,1426.900828
DEU,HR_WKD,2012,1407.987767
DEU,HR_WKD,2013,1396.4668
DEU,HR_WKD,2014,1400.412888
DEU,HR_WKD,2015,1400.951765
DEU,HR_WKD,2016,1395.597352
DEU,HR_WKD,2017,1389.133443
DEU,HR_WKD,2018,1380.677328
DEU,HR_WKD,2019,1372.152528
DEU,HR_WKD,2020,1319.130691
DEU,HR_WKD,2021,1340.165629
DEU,HR_WKD,2022,1340.861971
HUN,HR_WKD,1996,1946
HUN,HR_WKD,1997,1954.3
HUN,HR_WKD,1998,1945.1
HUN,HR_WKD,1999,1952.4
HUN,HR_WKD,2000,1932.4
HUN,HR_WKD,2001,1897.8
HUN,HR_WKD,2002,1883.6
HUN,HR_WKD,2003,1856.3
HUN,HR_WKD,2004,1858.6
HUN,HR_WKD,2005,1834.1
HUN,HR_WKD,2006,1813.9
HUN,HR_WKD,2007,1787.8
HUN,HR_WKD,2008,1791.2
HUN,HR_WKD,2009,1758.2
HUN,HR_WKD,2010,1766.3
HUN,HR_WKD,2011,1753.7
HUN,HR_WKD,2012,1738.3
HUN,HR_WKD,2013,1733.6
HUN,HR_WKD,2014,1748.5
HUN,HR_WKD,2015,1745.9
HUN,HR_WKD,2016,1760.2
HUN,HR_WKD,2017,1747.4
HUN,HR_WKD,2018,1729.9
HUN,HR_WKD,2019,1722.2
HUN,HR_WKD,2020,1657.1
HUN,HR_WKD,2021,1687.7
HUN,HR_WKD,2022,1699.6
IRL,HR_WKD,1996,1953.599192
IRL,HR_WKD,1997,1954.200971
IRL,HR_WKD,1998,1914.672719
IRL,HR_WKD,1999,1890.214754
IRL,HR_WKD,2000,1877.515745
IRL,HR_WKD,2001,1854.86224
IRL,HR_WKD,2002,1839.643165
IRL,HR_WKD,2003,1808.91127
IRL,HR_WKD,2004,1793.203274
IRL,HR_WKD,2005,1793.677194
IRL,HR_WKD,2006,1772.413848
IRL,HR_WKD,2007,1745.214665
IRL,HR_WKD,2008,1710.670242
IRL,HR_WKD,2009,1660.961651
IRL,HR_WKD,2010,1665.658179
IRL,HR_WKD,2011,1668.303483
IRL,HR_WKD,2012,1662.83305
IRL,HR_WKD,2013,1677.325512
IRL,HR_WKD,2014,1688.637691
IRL,HR_WKD,2015,1681.97169
